#0       1             2              3              4              5              6              7
#n   starPmass       starX          starY          starZ          starVx         starVy         starVz
148850  1.0002224e-05 -1.7159142e-01  4.5025109e-01 -3.8338430e-01  1.5768017e+01  1.3355089e+01  5.5337560e+00 
148851  1.0002224e-05 -1.6686451e+00  5.7459589e-01  1.4458083e+00  2.3222694e+01  4.0744756e+01  2.1718236e+01 
148852  1.0002224e-05 -4.4001915e-01 -3.2331635e-01  5.1413880e-01  5.0205729e+00  3.0733380e+01 -2.3989461e+01 
148853  1.0002224e-05  4.1072574e-01 -2.5722658e-02  3.1488772e-01 -2.4094270e+01  5.8420683e+00 -2.0380684e+01 
148854  1.0002224e-05  1.6872227e-01  2.9719962e-01  4.7960572e-01 -1.1072099e+01  1.6191977e+01 -3.0415620e+01 
148855  1.0002224e-05 -1.1734809e-01 -3.5371269e-01  7.6898922e-01  1.3222331e+01  4.8447676e+00 -3.5677987e+01 
148856  1.0002224e-05  8.9677895e-01 -6.6362808e-01  7.0951078e-01  1.0640686e+01 -1.6305413e+01 -6.5726073e+01 
148857  1.0002224e-05  1.5607928e+00  3.7198952e-01  1.1795066e-01 -1.7489411e+00 -1.0139153e+01 -2.6462027e+01 
148858  1.0002224e-05  1.3070905e-01  2.9745730e-01 -4.6747971e-01 -1.4537040e+01 -2.5082660e+01  1.3402788e+01 
148859  1.0002224e-05  6.6295132e-02 -3.0233119e-01 -5.2976370e-02 -2.8660650e+01  1.3116758e+01  2.6542992e+01 
148860  1.0002224e-05  1.7956033e+00 -3.0707496e-01  5.4196390e-01 -2.8052851e+01  1.5673199e+01  6.2240495e+01 
148861  1.0002224e-05  9.9891455e-02 -3.8998595e-01 -1.3716242e-02 -2.5451935e+01  9.1372493e+00 -2.9316577e+01 
148862  1.0002224e-05 -5.9823833e-01 -6.5887338e-01  6.7770247e-01 -2.1089850e+01 -2.1247197e+01  3.4962520e+01 
148863  1.0002224e-05 -1.6721522e-01  7.0484359e-02  4.4925136e-01  2.4697431e+01 -1.6782739e+01  5.7997824e+00 
148864  1.0002224e-05 -1.9637542e-01  2.9406810e-01 -3.0738194e-01 -1.5949261e+01 -8.3964284e+00  1.5994109e+01 
148865  1.0002224e-05 -1.9258958e-01  6.8445349e-01  8.7463946e-02 -1.7684909e+01 -8.6402908e+00  2.1759509e+01 
148866  1.0002224e-05  1.0957180e+01  4.4963685e+00 -9.4896733e+00 -6.0868757e+01  3.4696002e+01 -3.0894146e+01 
148867  1.0002224e-05 -1.3725733e+00 -9.7932693e-01  2.3341509e+00 -2.2948503e+01 -9.9803070e+00 -5.0490795e+00 
148868  1.0002224e-05 -8.2962263e-01 -2.0229463e+00 -2.9105023e+00 -4.7443330e+01 -4.4306993e+01  4.4979091e+01 
148869  1.0002224e-05  2.5295094e-01  1.9293457e-01 -3.1355307e-01  2.8938486e+00  2.6165468e+01 -4.9366289e+01 
148870  1.0002224e-05 -3.4883099e-02 -1.4937934e+00  2.5647933e+00  1.4469624e+01  2.8711617e+01 -2.2399827e+01 
148871  1.0002224e-05  1.0132385e-01  7.7307275e-01 -2.4814154e+00  1.0604652e+00  4.6677346e+01 -7.0433680e+00 
148872  1.0002224e-05  1.3858143e+00  2.8408917e-01  1.7438754e-01 -4.2662631e+01  3.6196807e+01  1.8877554e+01 
148873  1.0002224e-05  6.5482350e-01 -1.7329769e-02  2.8624531e-01  3.0508314e+01  2.4901764e+01 -1.9347659e+01 
148874  1.0002224e-05  6.1898728e-01  1.0893782e+00  1.0965603e+00  2.8471910e+01  1.1559368e+01  3.2367598e+00 
148875  1.0002224e-05 -3.2994260e-02 -2.4632197e-01 -2.7975783e-01  2.7819201e+01 -2.8205059e+00 -4.1400141e+01 
148876  1.0002224e-05  4.6675446e-01 -2.7143684e-01 -6.2316347e-01  5.8278717e+01 -3.9234710e+01 -3.4620738e+01 
148877  1.0002224e-05  1.0255891e-01 -2.1279788e-01 -8.9253988e-01 -2.1497427e+01 -1.3582349e+01  4.1245803e+01 
148878  1.0002224e-05  1.0239008e-01 -5.4862143e-02  2.3547243e-01 -8.2232358e+00 -1.6566273e+01  1.8064363e+00 
148879  1.0002224e-05  7.1319228e-01  3.3961966e-01 -1.4034505e+00 -2.2465142e+01  1.2366930e+01 -1.5206970e+01 
148880  1.0002224e-05  7.9233648e-01  1.3757107e-02  1.9893668e+00  3.4260580e+01  1.8684350e+01  1.0134301e+01 
148881  1.0002224e-05  8.6070992e-01  1.4051638e-01  7.9903535e-01  9.8551198e+00 -8.7203636e+00  3.7580283e+01 
148882  1.0002224e-05 -1.6945205e+00 -1.0300708e+00  3.7636662e-03 -1.0891958e+01  2.7864138e+01 -3.7744819e+00 
148883  1.0002224e-05 -4.0901348e-01  1.7208299e+00  1.3046423e+00 -1.3724636e+01 -3.5478402e+00  4.1286996e+01 
148884  1.0002224e-05  1.6095338e+00  1.4449081e+00  1.2633556e-01  2.2316033e+00  1.3119049e-01  3.3788525e+01 
148885  1.0002224e-05  5.4023488e-01  1.1650076e+01  2.5104906e+00  4.7681833e+01  4.8567492e+01  3.6552953e+01 
148886  1.0002224e-05 -3.3531474e-01  3.8159181e-01  1.5434710e+00  2.6368431e+01  2.6544539e+01  1.0494683e+01 
148887  1.0002224e-05 -9.7779131e-01  9.0234729e-01 -2.5290257e-01  8.3925094e+00 -2.7917206e+01 -3.9671037e+00 
148888  1.0002224e-05 -4.6298138e-01  8.4480711e-01 -1.2243590e-01 -1.9804789e+01  5.6352319e+00 -3.0279985e+00 
148889  1.0002224e-05 -4.8023508e-01  3.7704287e-01 -5.8092962e-01 -2.5684723e+01 -5.7726975e+00 -4.2762406e+00 
148890  1.0002224e-05 -1.7939452e-01  2.2086461e-01  9.1480228e-01  2.9708578e+01  2.3353274e+01  3.1059650e+00 
148891  1.0002224e-05  3.1715360e-01  9.0477058e-01  8.8218316e-02 -1.1169783e+01 -1.8457978e+01  9.4110003e+00 
148892  1.0002224e-05 -3.1138249e-01 -9.0556715e-01 -3.1570549e-01 -1.2049534e+01  2.6957885e+01  2.3096137e+01 
148893  1.0002224e-05 -2.7009726e-01  1.0040335e-02 -2.3333701e-01 -2.6704272e+01  1.8038752e+01  1.3590014e+01 
148894  1.0002224e-05  5.3409231e-02  7.8551992e-03  8.0010808e-01  1.2300642e+01 -2.7803925e+00  1.5736402e+01 
148895  1.0002224e-05 -1.2036697e-01 -1.2571930e-01  9.7587351e-01  3.6530790e+00 -6.8896124e+00 -4.0676321e+01 
148896  1.0002224e-05 -1.1464603e+00 -8.7096597e-01  6.8341740e-01 -1.5906089e+01 -5.0554469e+00  6.3252236e+00 
148897  1.0002224e-05  3.6178558e-01  2.2837212e-02 -1.1171369e-01  8.0155236e-01 -2.6320677e+01 -1.9480196e+01 
148898  1.0002224e-05 -7.1658500e-01  2.4789234e-01  6.0730174e-01  2.4129121e+00  3.7048180e+01  4.9693093e+01 
148899  1.0002224e-05 -1.2268249e+00 -9.1919717e-01 -1.1856632e+00  3.5992607e+00 -2.5435741e+01  2.6228548e+01 
148900  1.0002224e-05 -4.6375256e-01 -2.5410737e-01  1.6188995e-01 -3.2676234e+01  2.5997592e+01 -1.7260955e+01 
148901  1.0002224e-05  4.7947634e-01  4.8305223e-01 -8.9878335e-01  2.9075809e-01 -4.7443750e+01 -2.3581381e+00 
148902  1.0002224e-05 -1.6370142e+00  3.2253497e-01  2.7800631e-01  4.6602248e+01  6.0686960e+01 -7.9707140e+00 
148903  1.0002224e-05 -5.5595310e-01 -6.9216785e-01  2.7897769e-01 -1.8368552e+01 -3.9189409e+01 -2.2785754e+01 
148904  1.0002224e-05 -3.1225035e-01 -3.8313058e-01 -3.5618997e+00 -5.5211811e+01  7.7895164e+01  3.6024667e+00 
148905  1.0002224e-05 -2.9707014e+00 -3.3020446e+00 -2.1318891e-01  1.4430553e+01  2.3709196e+01 -2.1002788e+01 
148906  1.0002224e-05 -5.4876129e-01  7.7762826e-01 -7.5233513e-01  7.6085398e+00  1.2147494e+01 -7.3650505e+00 
148907  1.0002224e-05 -1.5042414e-01 -4.6850025e-01 -2.5690919e-01 -2.8617280e+01  4.6191671e+01  4.2556332e+01 
148908  1.0002224e-05 -5.0508238e-01 -4.1735707e-02  2.6056268e-01 -1.8972654e+01  1.4786686e+00 -1.6757412e+01 
148909  1.0002224e-05 -3.6230834e-01 -1.3153372e+00  5.0351924e-02  6.0771223e-01  1.2826718e+01  3.7248296e+01 
